
1,1,シンボリクリスエス,テーオーフォース,キャンディーストア,(スペシャルウィーク),栗東・岡田,中6週,484kg(+6),---.-,**,牡5黒鹿,浜中,53.0
2020.01.12,中山,3,ポルックス,OP,ダ1800,1:53.7,良,15頭,13番,14人,松岡正海,58.0,14-14-13-11,(36.9),534(+16),スワーヴアラミス(1.0)
2019.10.20,東京,14,ブラジルC,L,ダ2100,2:11.1,重,16頭,7番,9人,松岡正海,57.0,13-13-10-11,(38.8),518(0),サトノティターン(3.1)
2019.09.28,阪神,7,シリウスS,GIII,ダ2000,2:04.2,良,14頭,9番,13人,幸英明,57.0,14-14-14-13,(36.3),518(+4),ロードゴラッソ(0.7)
2019.08.10,小倉,7,阿蘇S,OP,ダ1700,1:45.3,良,15頭,14番,2人,浜中俊,57.0,15-15-15-12,(37.9),514(-2),アードラー(0.7)
2019.07.14,中京,6,名鉄杯,L,ダ1800,1:49.0,重,11頭,10番,8人,和田竜二,58.0,10-10-10-10,(36.0),516(-4),スマハマ(1.4)
7,14,エンパイアメーカー,ヒストリーメイカー,チヨノドラゴン,(バブルガムフェロー),栗東・作田,中4週,546kg(+4),---.-,**,牡6黒鹿,藤岡佑,54.0
2020.01.26,京都,6,東海S,GII,ダ1800,1:50.9,重,16頭,12番,8人,畑端省吾,56.0,5-5-6-5,(36.4),542(0),エアアルマス(0.7)
2019.12.21,阪神,1,摩耶S,3勝,ダ1800,1:51.6,稍,16頭,2番,2人,藤岡佑介,56.0,8-9-8-6,(37.4),542(+6),スズカフリオーソ(-0.1)
2019.11.23,京都,3,花園S,3勝,ダ1800,1:51.3,良,16頭,7番,2人,畑端省吾,55.0,2-2-2-1,(38.5),536(-2),テーオーフォース(0.2)
2019.10.27,京都,5,御陵S,3勝,ダ1900,1:57.2,稍,13頭,10番,4人,畑端省吾,55.0,7-7-3-3,(38.3),538(+4),メイショウエイコウ(0.8)
2019.04.21,京都,3,桃山S,1600下,ダ1900,1:58.6,良,13頭,13番,3人,畑端省吾,57.0,2-3-2-2,(36.7),534(-4),タイセイパルサー(0.2)
8,15,ディープインパクト,ミッキーポジション,ポジションリミット,(Bellamy,Road),美浦・菊沢,中7週,494kg(-10),---.-,**,牡5鹿,横山典,54.0
2020.01.05,中山,1,招福S,3勝,ダ1800,1:53.2,良,16頭,12番,5人,菊沢一樹,56.0,2-2-2-2,(37.7),504(+10),エムオーグリッタ(-0.1)
2019.11.17,東京,13,晩秋S,3勝,ダ2100,2:12.6,良,16頭,3番,8人,菊沢一樹,56.0,13-13-9-7,(40.3),494(+4),アポロテネシー(2.8)
2019.09.22,中山,7,内房S,3勝,ダ1800,1:53.6,良,15頭,8番,3人,横山典弘,56.0,4-2-5-4,(38.1),490(-2),デザートスネーク(0.7)
2019.04.13,中山,2,下総S,1600下,ダ1800,1:52.0,良,12頭,4番,3人,横山典弘,57.0,4-4-5-4,(36.5),492(+6),マイネルユキツバキ(0.2)
2019.03.23,中京,6,名古屋城S,1600下,ダ1800,1:53.6,良,16頭,5番,8人,菊沢一樹,57.0,12-13-13-14,(37.2),486(-10),アイファーイチオー(0.6)
8,16,エスポワールシチー,メモリーコウ,メモリーキャップ,(キャプテンスティーヴ),栗東・松永幹,中4週,478kg(+11),---.-,**,牝5栗,坂井,52.0
2020.01.22,大井,3,TCK女王,GIII,ダ1800,1:54.9,重,12頭,9番,3人,古川吉洋,55.0,7-6-4-4,(40.2),467(+3),マドラスチェック(0.6)
2019.11.09,京都,1,観月橋S,3勝,ダ1800,1:51.3,良,11頭,1番,6人,古川吉洋,55.0,3-3-4-4,(35.9),464(+4),グレートタイム(0.0)
2019.09.16,阪神,1,Mウオッカ,2勝,ダ1800,1:52.7,良,13頭,2番,4人,古川吉洋,55.0,4-4-3-2,(37.0),460(-2),ワンダーウマス(-0.2)
2019.08.04,札幌,8,ポプラ特別,2勝,ダ1700,1:45.2,良,11頭,10番,4人,古川吉洋,55.0,7-7-7-5,(38.0),462(+16),サラーブ(1.7)
2019.04.07,福島,11,米沢特別,1000下,ダ1700,1:48.3,良,15頭,5番,2人,荻野琢真,53.0,13-14-6-8,(39.7),446(-12),クインズヌーサ(1.1)
